sno,subject,vol,lesson,qno,question,question_image,option_1,option_1_image,option_2,option_2_image,option_3,option_3_image,option_4,option_4_image,answer,answer_image
41,cs,Vol1,5,1,Who developed Python?,,Ritche,,Guido Van Rossum,,Bill Gates,,Sunder Pitchai,,Guido Van Rossum,
42,cs,Vol1,5,2,The Python prompt indicates that Interpreter is ready to accept instruction.,,>>>,,<<<,,#,,<<,,>>>,
43,cs,Vol1,5,3,Which of the following shortcut is used to create new Python Program?,,Ctrl + C,,Ctrl + F,,Ctrl + B,,Ctrl + N,,Ctrl + N,
44,cs,Vol1,5,4,Which of the following character is used to give comments in Python Program?,,#,,&,,@,,$,,#,
45,cs,Vol1,5,5,This symbol is used to print more than one item on a single line.,,Semicolon(;),,Dollor($),,comma(,),,Colon(:),,comma(,),
46,cs,Vol1,5,6,Which of the following is not a token?,,Interpreter,,Identifiers,,Keyword,,Operator,,Interpreter,
47,cs,Vol1,5,7,Which of the following is not a Keyword in Python?,,break,,while,,continue,,operators,,operators,
48,cs,Vol1,5,8,Which operator is also called as Comparative operator?,,Arithmetic,,Relational,,Logical,,Assignment,,Relational,
49,cs,Vol1,5,9,Which of the following is not Logical operator?,,and,,or,,not,,Assignment,,Assignment,
50,cs,Vol1,5,10,Which operator is also called as Conditional operator?,,Ternary,,Relational,,Logical,,Assignment,,Ternary,

51,cs,Vol1,6,1,How many important control structures are there in Python?,,3,,4,,5,,6,,3,
52,cs,Vol1,6,2,elif can be considered to be abbreviation of,,nested if,,if..else,,else if,,if..elif,,else if,
53,cs,Vol1,6,3,What plays a vital role in Python programming?,,Statements,,Control,,Structure,,Indentation,,Indentation,
54,cs,Vol1,6,4,Which statement is generally used as a placeholder?,,continue,,break,,pass,,goto,,pass,
55,cs,Vol1,6,5,The condition in the if statement should be in the form of,,Arithmetic or Relational expression,,Arithmetic or Logical expression,,Relational or Logical expression,,Arithmetic,,Relational or Logical expression,
56,cs,Vol1,6,6,Which of the following is known as definite loop?,,do..while,,while,,for,,if..elif,,for,
57,cs,Vol1,6,7,"What is the output of the following snippet? i=1 while True: if i%3 ==0: break print(i,end=' ') i +=1",,12,,123,,1234,,124,,12,
58,cs,Vol1,6,8,What is the output of the following snippet? T=1 while T: print(True) break,,False,,True,,0,,1,,True,
59,cs,Vol1,6,9,Which amongst this is not a jump statement?,,for,,pass,,continue,,break,,for,
60,cs,Vol1,6,10,Which punctuation should be used in the blank? if <condition>_ statements-block1 else: statements-block2,,;,, :,,:,,!,, :,

61,cs,Vol1,7,1,A named blocks of code that are designed to do one specific job is called as,,Loop,,Branching,,Function,,Block,,Function,
62,cs,Vol1,7,2,A Function which calls itself is called as,,Built-in,,Recursion,,Lambda,,return,,Recursion,
63,cs,Vol1,7,3,Which function is called anonymous un-named function,,Lambda,,Recursion,,Function,,define,,Lambda,
64,cs,Vol1,7,4,Which of the following keyword is used to begin the function block?,,define,,for,,finally,,def,,def,
65,cs,Vol1,7,5,Which of the following keyword is used to exit a function block?,,define,,return,,finally,,def,,return,
66,cs,Vol1,7,6,While defining a function which of the following symbol is used.,,; (semicolon),,. (dot),,: (colon),,$ (dollar),,: (colon),
67,cs,Vol1,7,7,In which arguments the correct positional order is passed to a function?,,Required,,Keyword,,Default,,Variable-length,,Required,
68,cs,Vol1,7,8,"Read the following statement and choose the correct statement(s). (I) In Python you don’t have to mention the specific data types while defining function. (II) Python keywords can be used as function name.",,I is correct and II is wrong,,Both are correct,,I is wrong and II is correct,,Both are wrong,,I is correct and II is wrong,
69,cs,Vol1,7,9,"Pick the correct one to execute the given statement successfully. if ____ : print(x, "" is a leap year"")",,x%2=0,,x%4==0,,x/4=0,,x%4=0,,x%4==0,
70,cs,Vol1,7,10,Which of the following keyword is used to define the function testpython(): ?,,define,,pass,,def,,while,,def,

71,cs,Vol1,8,1,"Which of the following is the output of the following python code? str1=""TamilNadu"" print(str1[::-1])",,Tamilnadu,,Tmlau,,udanlimaT,,udaNlimaT,,udaNlimaT,
72,cs,Vol1,8,2,"What will be the output of the following code? str1 = ""Chennai Schools"" str1[7] = ""-""",,Chennai-Schools,,Chenna-School,,Type error,,Chennai,,Type error,
73,cs,Vol1,8,3,Which of the following operator is used for concatenation?,,+,,&,,*,,=,,+,
74,cs,Vol1,8,4,Defining strings within triple quotes allows creating:, ,Single line Strings,,Multiline Strings,,Double line Strings,,Multiple Strings,,Multiline Strings,
75,cs,Vol1,8,5,Strings in python:, ,Changeable,,Mutable,,Immutable,,flexible,,Immutable,
76,cs,Vol1,8,6,Which of the following is the slicing operator?,,{ },,[ ],,< >,,( ),,[ ],
77,cs,Vol1,8,7,What is stride?,,index value of slice operation,,first argument of slice operation,,second argument of slice operation,,third argument of slice operation,,third argument of slice operation,
78,cs,Vol1,8,8,Which of the following formatting character is used to print exponential notation in upper case?,,%f,,%E,,%g,,%n,,%E,
79,cs,Vol1,8,9,Which of the following is used as placeholders or replacement fields which get replaced along with format() function?,,{ },,< >,,++,^^,,{ },
80,cs,Vol1,8,10,The subscript of a string may be:, ,Positive,,Negative,,Both (a) and (b),,Either (a) or (b),,Both (a) and (b),

81,cs,Vol1,9,1,Pick odd one in connection with collection data type,,List,,Tuple,,Dictionary,,Loop,,Loop,
82,cs,Vol1,9,2,"Let list1=[2,4,6,8,10], then print(list1[-2]) will result",,10,,8,,4,,6,,8,
83,cs,Vol1,9,3,Which of the following function is used to count the number of elements in a list?,,count(),,find(),,len(),,index(),,len(),
84,cs,Vol1,9,4,"If List=[10,20,30,40,50] then List[2]=35 will result",,"[35,10,20,30,40,50]","",[10,20,30,40,50,35]","",[10,20,35,40,50]","",[10,35,30,40,50]","",[10,20,35,40,50],
85,cs,Vol1,9,5,"If List=[17,23,41,10] then List.append(32) will result",,"[32,17,23,41,10]","",[17,23,41,10,32]","",[10,17,23,32,41]","",[41,32,23,17,10]","",[17,23,41,10,32],
86,cs,Vol1,9,6,Which of the following Python function can be used to add more than one element within an existing list?,,append(),,append_more(),,extend(),,more(),,extend(),
87,cs,Vol1,9,7,"What will be the result of the following Python code? S=[x**2 for x in range(5)] print(S)",,"[0,1,2,4,5]","",[0,1,4,9,16]","",[0,1,4,9,16,25]","",[1,4,9,16,25]","",[0,1,4,9,16],
88,cs,Vol1,9,8,What is the use of type() function in python?,,To create a Tuple,,To know the type of an element in tuple.,,To know the data type of python object.,,To create a list.,,To know the data type of python object.,
89,cs,Vol1,9,9,Which of the following statement is not correct?,,A list is mutable,,A tuple is immutable.,,The append() function is used to add an element.,,The extend() function is used in tuple to add elements in a list.,,The extend() function is used in tuple to add elements in a list.,
90,cs,Vol1,9,10,"Let setA = {3,6,9}, setB = {1,3,9}. What will be the result of the following snippet? print(setA|setB)",,"{3,6,9,1,3,9}","",{3,9},,{1},,{1,3,6,9},,{1,3,6,9},
91,cs,Vol1,9,11,Which of the following set operation includes all the elements that are in two sets but not the one that are common to two sets?,,Symmetric difference,,Difference,,Intersection,,Union,,Symmetric difference,
92,cs,Vol1,9,12,The keys in Python dictionary is specified by,,=,,;,,+,, :,, :,

93,cs,Vol1,10,1,Which of the following are the key features of an Object Oriented Programming language?,,Constructor and Classes,,Constructor and Object,,Classes and Objects,,Constructor and Destructor,,Classes and Objects,
94,cs,Vol1,10,2,Functions defined inside a class:, ,Functions,,Module,,Methods,,section,,Methods,
95,cs,Vol1,10,3,Class members are accessed through which operator?,,&,,.,,#,,%,,., 
96,cs,Vol1,10,4,Which of the following method is automatically executed when an object is created?,,__object__(),,__del__(),,__func__(),,__init__(),,__init__(),
97,cs,Vol1,10,5,A private class variable is prefixed with,,__,,&&,,##,,**,,__,
98,cs,Vol1,10,6,Which of the following method is used as destructor?,,__init__(),,__dest__(),,__rem__(),,__del__(),,__del__(),
99,cs,Vol1,10,7,Which of the following class declaration is correct?,,class class_name,,class class_name<>,,class class_name:,,class class_name[ ],,class class_name:,
100,cs,Vol1,10,8,"Which of the following is the output of the following program? class Student: def __init__(self, name): self.name=name print(self.name) S=Student(""Tamil"")",,Error,,Tamil,,name,,self,,Tamil,
101,cs,Vol1,10,9,Which of the following is the private class variable?,,__num,,##num,,$$num,,&&num,,__num,
102,cs,Vol1,10,10,The process of creating an object is called as:, ,Constructor,,Destructor,,Initialize,,Instantiation,,Instantiation,

103,cs,Vol1,11,1,What is the acronym of DBMS?,,DataBase Management Symbol,,Database Managing System,,DataBase Management System,,DataBasic Management System,,DataBase Management System,
104,cs,Vol1,11,2,A table is known as,,tuple,,attribute,,relation,,entity,,relation,
105,cs,Vol1,11,3,Which database model represents parent-child relationship?,,Relational,,Network,,Hierarchical,,Object,,Hierarchical,
106,cs,Vol1,11,4,Relational database model was first proposed by,,E F Codd,,E E Codd,,E F Cadd,,E F Codder,,E F Codd,
107,cs,Vol1,11,5,What type of relationship does hierarchical model represents?,,one-to-one,,one-to-many,,many-to-one,,many-to-many,,one-to-many,
108,cs,Vol1,11,6,Who is called Father of Relational Database from the following?,,Chris Date,,Hugh Darween,,Edgar Frank Codd,,Edgar Frank Cadd,,Edgar Frank Codd,
109,cs,Vol1,11,7,Which of the following is an RDBMS?,,Dbase,,Foxpro,,Microsoft Access,,Microsoft Excel,,Microsoft Access,
110,cs,Vol1,11,8,What symbol is used for SELECT statement?,,σ,,Π,,X,,Ω,,σ,
111,cs,Vol1,11,9,A tuple is also known as,,table,,row,,attribute,,field,,row,
112,cs,Vol1,11,10,Who developed ER model?,,Chen,,EF Codd,,Chend,,Chand,,Chen,

113,cs,Vol1,12,1,Which commands provide definitions for creating table structure deleting relations and modifying relation schemas?,,DDL,,DML,,DCL,,DQL,,DDL,
114,cs,Vol1,12,2,Which command lets to change the structure of the table?,,SELECT,,ORDER BY,,MODIFY,,ALTER,,ALTER,
115,cs,Vol1,12,3,The command to delete a table including the structure is,,DROP,,DELETE,,DELETE ALL,,ALTER TABLE,,DROP,
116,cs,Vol1,12,4,Queries can be generated using,,SELECT,,ORDER BY,,MODIFY,,ALTER,,SELECT,
117,cs,Vol1,12,5,The clause used to sort data in a database,,SORT BY,,ORDER BY,,GROUP BY,,SELECT,,ORDER BY,

118,cs,Vol1,13,1,A CSV file is also known as a,,Flat File,,3D File,,String File,,Random File,,Flat File,
119,cs,Vol1,13,2,The expansion of CRLF is,,Control Return and Line Feed,,Carriage Return and Form Feed,,Control Router and Line Feed,,Carriage Return and Line Feed,,Carriage Return and Line Feed,
120,cs,Vol1,13,3,Which of the following module is provided by Python to do several operations on the CSV files?,,py,,xls,,csv,,os,,csv,
121,cs,Vol1,13,4,Which of the following mode is used when dealing with non-text files like image or exe files?,,Text mode,,Binary mode,,xls mode,,csv mode,,Binary mode,
122,cs,Vol1,13,5,The command used to skip a row in a CSV file is,,next(),,skip(),,omit(),,bounce(),,next(),
123,cs,Vol1,13,6,Which of the following is a string used to terminate lines produced by writer() method of csv module?,,Line Terminator,,Enter key,,Form feed,,Data Terminator,,Line Terminator,
124,cs,Vol1,13,7,"What is the output of the following program? import csv d=csv.reader(open('city.csv')) next(d) for row in d: print(row) if the file contains chennai,mylapore and mumbai,andheri",,"chennai,mylapore","",mumbai,andheri,"","chennai mumbai","",chennai,mylapore mumbai,andheri,"",mumbai,andheri,
125,cs,Vol1,13,8,Which of the following creates an object which maps data to a dictionary?,,listreader(),,reader(),,tuplereader(),,DictReader(),,DictReader(),
126,cs,Vol1,13,9,Making some changes in the data of the existing file or adding more data is called,,Editing,,Appending,,Modification,,Alteration,,Modification,
127,cs,Vol1,13,10,What will be written inside the file using the given program with writerows and line terminator,,Exam Quarterly Halfyearly,,Exam Quarterly Halfyearly,,E,,Exam Q Quarterly H Halfyearly,,Exam Quarterly Halfyearly,

128,cs,Vol1,14,1,Which of the following is not a scripting language?,,JavaScript,,PHP,,Perl,,HTML,,HTML,
129,cs,Vol1,14,2,Importing C++ program in a Python program is called,,wrapping,,Downloading,,Interconnecting,,Parsing,,wrapping,
130,cs,Vol1,14,3,The expansion of API is,,Application Programming Interpreter,,Application Programming Interface,,Application Performing Interface,,Application Programming Interlink,,Application Programming Interface,
131,cs,Vol1,14,4,A framework for interfacing Python and C++ is,,Ctypes,,SWIG,,Cython,,Boost,,SWIG,
132,cs,Vol1,14,5,Which of the following is a software design technique to split your code into separate parts?,,Object oriented Programming,,Modular programming,,Low Level Programming,,Procedure oriented Programming,,Modular programming,
133,cs,Vol1,14,6,The module which allows you to interface with the Windows operating system is,,OS module,,sys module,,csv module,,getopt module,,OS module,
134,cs,Vol1,14,7,getopt() will return an empty array if there is no error in splitting strings to,,argv variable,,opt variable,,args variable,,file variable,,args variable,
135,cs,Vol1,14,8,Identify the function call statement in the snippet,,main(sys.argv[1:]),,__name__,,__main__,,argv,,main(sys.argv[1:]),
136,cs,Vol1,14,9,Which of the following can be used for processing text numbers images and scientific data?,,HTML,,C,,C++,,PYTHON,,PYTHON,
137,cs,Vol1,14,10,What does __name__ contains?,,c++ filename,,main() name,,python filename,,os module name,,python filename,

138,cs,Vol1,15,1,Which of the following is an organized collection of data?,,Database,,DBMS,,Information,,Records,,Database,
139,cs,Vol1,15,2,SQLite falls under which database system?,,Flat file database system,,Relational Database system,,Hierarchical database system,,Object oriented Database system,,Relational Database system,
140,cs,Vol1,15,3,Which of the following is a control structure used to traverse and fetch the records of the database?,,Pointer,,Key,,Cursor,,Insertion point,,Cursor,
141,cs,Vol1,15,4,Any changes made in the values of the record should be saved by the command,,Save,,Save As,,Commit,,Oblige,,Commit,
142,cs,Vol1,15,5,Which of the following executes the SQL command to perform some action?,,execute(),,key(),,cursor(),,run(),,execute(),
143,cs,Vol1,15,6,Which of the following function retrieves the average of a selected column of rows in a table?,,Add(),,SUM(),,AVG(),,AVERAGE(),,AVG(),
144,cs,Vol1,15,7,The function that returns the largest value of the selected column is,,MAX(),,LARGE(),,HIGH(),,MAXIMUM(),,MAX(),
145,cs,Vol1,15,8,Which of the following is called the master table?,,sqlite_master,,sql_master,,main_master,,master_main,,sqlite_master,
146,cs,Vol1,15,9,The most commonly used statement in SQL is,,cursor,,select,,execute,,commit,,select,
147,cs,Vol1,15,10,Which of the following keyword avoid the duplicate?,,Distinct,,Remove,,Where,,GroupBY,,Distinct,

148,cs,Vol1,16,1,Which is a python package used for 2D charts?,,matplotlib.pyplot,,matplotlib.pip,,matplotlib.numpy,,matplotlib.plt,,matplotlib.pyplot,
149,cs,Vol1,16,2,Identify the package manager for installing Python packages or modules,,Matplotlib,,PIP,,plt.show(),,python package,,PIP,
150,cs,Vol1,16,3,Which of the following feature is used to represent data and information graphically?,,Data List,,Data Tuple,,Classes and Objects,,Data Visualization,,Data Visualization,
151,cs,Vol1,16,4,is a collection of resources assembled to create a single unified visual display,,Interface,,Dashboard,,Objects,,Graphics,,Dashboard,
152,cs,Vol1,16,5,Which of the following module should be imported to visualize data and information in Python?,,csv,,getopt,,mysql,,matplotlib,,matplotlib,
153,cs,Vol1,16,6,is a type of chart which displays information as a series of data points connected by straight line segments,,csv,,Pie chart,,Bar chart,,Line chart,,Line chart,
154,cs,Vol1,16,7,Identify the output of the code plt.plot(3,2) plt.show(),,Point at (3,2),,Line graph,,Bar graph,,Error,,Point at (3,2),
155,cs,Vol1,16,8,This chart is used to visualize trend over time and drawn chronologically,,Line chart,,Bar chart,,Pie chart,,Scatter plot,,Line chart,
156,cs,Vol1,16,9,"Identify correct option for pie chart statements A and B",,Statement A is correct,,Statement B is correct,,Both the statements are correct,,Both the statements are wrong,,Both the statements are correct,
